feature,label,boundary
/TCG-15/features/subject_1_instance_15.npy,/TCG-15/gt_arr/subject_1_instance_15.npy,/TCG-15/gt_boundary_arr/subject_1_instance_15.npy
/TCG-15/features/subject_1_instance_16.npy,/TCG-15/gt_arr/subject_1_instance_16.npy,/TCG-15/gt_boundary_arr/subject_1_instance_16.npy
/TCG-15/features/subject_1_instance_17.npy,/TCG-15/gt_arr/subject_1_instance_17.npy,/TCG-15/gt_boundary_arr/subject_1_instance_17.npy
/TCG-15/features/subject_1_instance_18.npy,/TCG-15/gt_arr/subject_1_instance_18.npy,/TCG-15/gt_boundary_arr/subject_1_instance_18.npy
/TCG-15/features/subject_1_instance_19.npy,/TCG-15/gt_arr/subject_1_instance_19.npy,/TCG-15/gt_boundary_arr/subject_1_instance_19.npy
/TCG-15/features/subject_1_instance_21.npy,/TCG-15/gt_arr/subject_1_instance_21.npy,/TCG-15/gt_boundary_arr/subject_1_instance_21.npy
/TCG-15/features/subject_1_instance_22.npy,/TCG-15/gt_arr/subject_1_instance_22.npy,/TCG-15/gt_boundary_arr/subject_1_instance_22.npy
/TCG-15/features/subject_1_instance_23.npy,/TCG-15/gt_arr/subject_1_instance_23.npy,/TCG-15/gt_boundary_arr/subject_1_instance_23.npy
/TCG-15/features/subject_1_instance_24.npy,/TCG-15/gt_arr/subject_1_instance_24.npy,/TCG-15/gt_boundary_arr/subject_1_instance_24.npy
/TCG-15/features/subject_1_instance_25.npy,/TCG-15/gt_arr/subject_1_instance_25.npy,/TCG-15/gt_boundary_arr/subject_1_instance_25.npy
/TCG-15/features/subject_1_instance_26.npy,/TCG-15/gt_arr/subject_1_instance_26.npy,/TCG-15/gt_boundary_arr/subject_1_instance_26.npy
/TCG-15/features/subject_1_instance_27.npy,/TCG-15/gt_arr/subject_1_instance_27.npy,/TCG-15/gt_boundary_arr/subject_1_instance_27.npy
/TCG-15/features/subject_1_instance_28.npy,/TCG-15/gt_arr/subject_1_instance_28.npy,/TCG-15/gt_boundary_arr/subject_1_instance_28.npy
/TCG-15/features/subject_1_instance_29.npy,/TCG-15/gt_arr/subject_1_instance_29.npy,/TCG-15/gt_boundary_arr/subject_1_instance_29.npy
/TCG-15/features/subject_1_instance_31.npy,/TCG-15/gt_arr/subject_1_instance_31.npy,/TCG-15/gt_boundary_arr/subject_1_instance_31.npy
/TCG-15/features/subject_1_instance_32.npy,/TCG-15/gt_arr/subject_1_instance_32.npy,/TCG-15/gt_boundary_arr/subject_1_instance_32.npy
/TCG-15/features/subject_1_instance_33.npy,/TCG-15/gt_arr/subject_1_instance_33.npy,/TCG-15/gt_boundary_arr/subject_1_instance_33.npy
/TCG-15/features/subject_1_instance_34.npy,/TCG-15/gt_arr/subject_1_instance_34.npy,/TCG-15/gt_boundary_arr/subject_1_instance_34.npy
/TCG-15/features/subject_1_instance_35.npy,/TCG-15/gt_arr/subject_1_instance_35.npy,/TCG-15/gt_boundary_arr/subject_1_instance_35.npy
/TCG-15/features/subject_1_instance_36.npy,/TCG-15/gt_arr/subject_1_instance_36.npy,/TCG-15/gt_boundary_arr/subject_1_instance_36.npy
/TCG-15/features/subject_1_instance_37.npy,/TCG-15/gt_arr/subject_1_instance_37.npy,/TCG-15/gt_boundary_arr/subject_1_instance_37.npy
/TCG-15/features/subject_1_instance_38.npy,/TCG-15/gt_arr/subject_1_instance_38.npy,/TCG-15/gt_boundary_arr/subject_1_instance_38.npy
/TCG-15/features/subject_1_instance_39.npy,/TCG-15/gt_arr/subject_1_instance_39.npy,/TCG-15/gt_boundary_arr/subject_1_instance_39.npy
/TCG-15/features/subject_1_instance_41.npy,/TCG-15/gt_arr/subject_1_instance_41.npy,/TCG-15/gt_boundary_arr/subject_1_instance_41.npy
/TCG-15/features/subject_1_instance_42.npy,/TCG-15/gt_arr/subject_1_instance_42.npy,/TCG-15/gt_boundary_arr/subject_1_instance_42.npy
/TCG-15/features/subject_1_instance_43.npy,/TCG-15/gt_arr/subject_1_instance_43.npy,/TCG-15/gt_boundary_arr/subject_1_instance_43.npy
/TCG-15/features/subject_1_instance_44.npy,/TCG-15/gt_arr/subject_1_instance_44.npy,/TCG-15/gt_boundary_arr/subject_1_instance_44.npy
/TCG-15/features/subject_1_instance_45.npy,/TCG-15/gt_arr/subject_1_instance_45.npy,/TCG-15/gt_boundary_arr/subject_1_instance_45.npy
/TCG-15/features/subject_1_instance_46.npy,/TCG-15/gt_arr/subject_1_instance_46.npy,/TCG-15/gt_boundary_arr/subject_1_instance_46.npy
/TCG-15/features/subject_1_instance_47.npy,/TCG-15/gt_arr/subject_1_instance_47.npy,/TCG-15/gt_boundary_arr/subject_1_instance_47.npy
/TCG-15/features/subject_1_instance_48.npy,/TCG-15/gt_arr/subject_1_instance_48.npy,/TCG-15/gt_boundary_arr/subject_1_instance_48.npy
/TCG-15/features/subject_1_instance_49.npy,/TCG-15/gt_arr/subject_1_instance_49.npy,/TCG-15/gt_boundary_arr/subject_1_instance_49.npy
/TCG-15/features/subject_1_instance_51.npy,/TCG-15/gt_arr/subject_1_instance_51.npy,/TCG-15/gt_boundary_arr/subject_1_instance_51.npy
/TCG-15/features/subject_1_instance_52.npy,/TCG-15/gt_arr/subject_1_instance_52.npy,/TCG-15/gt_boundary_arr/subject_1_instance_52.npy
/TCG-15/features/subject_1_instance_53.npy,/TCG-15/gt_arr/subject_1_instance_53.npy,/TCG-15/gt_boundary_arr/subject_1_instance_53.npy
/TCG-15/features/subject_1_instance_54.npy,/TCG-15/gt_arr/subject_1_instance_54.npy,/TCG-15/gt_boundary_arr/subject_1_instance_54.npy
/TCG-15/features/subject_1_instance_55.npy,/TCG-15/gt_arr/subject_1_instance_55.npy,/TCG-15/gt_boundary_arr/subject_1_instance_55.npy
/TCG-15/features/subject_1_instance_56.npy,/TCG-15/gt_arr/subject_1_instance_56.npy,/TCG-15/gt_boundary_arr/subject_1_instance_56.npy
/TCG-15/features/subject_1_instance_57.npy,/TCG-15/gt_arr/subject_1_instance_57.npy,/TCG-15/gt_boundary_arr/subject_1_instance_57.npy
/TCG-15/features/subject_1_instance_58.npy,/TCG-15/gt_arr/subject_1_instance_58.npy,/TCG-15/gt_boundary_arr/subject_1_instance_58.npy
/TCG-15/features/subject_1_instance_59.npy,/TCG-15/gt_arr/subject_1_instance_59.npy,/TCG-15/gt_boundary_arr/subject_1_instance_59.npy
/TCG-15/features/subject_1_instance_61.npy,/TCG-15/gt_arr/subject_1_instance_61.npy,/TCG-15/gt_boundary_arr/subject_1_instance_61.npy
/TCG-15/features/subject_1_instance_62.npy,/TCG-15/gt_arr/subject_1_instance_62.npy,/TCG-15/gt_boundary_arr/subject_1_instance_62.npy
/TCG-15/features/subject_1_instance_63.npy,/TCG-15/gt_arr/subject_1_instance_63.npy,/TCG-15/gt_boundary_arr/subject_1_instance_63.npy
/TCG-15/features/subject_1_instance_64.npy,/TCG-15/gt_arr/subject_1_instance_64.npy,/TCG-15/gt_boundary_arr/subject_1_instance_64.npy
/TCG-15/features/subject_1_instance_65.npy,/TCG-15/gt_arr/subject_1_instance_65.npy,/TCG-15/gt_boundary_arr/subject_1_instance_65.npy
/TCG-15/features/subject_1_instance_66.npy,/TCG-15/gt_arr/subject_1_instance_66.npy,/TCG-15/gt_boundary_arr/subject_1_instance_66.npy
/TCG-15/features/subject_1_instance_67.npy,/TCG-15/gt_arr/subject_1_instance_67.npy,/TCG-15/gt_boundary_arr/subject_1_instance_67.npy
/TCG-15/features/subject_1_instance_68.npy,/TCG-15/gt_arr/subject_1_instance_68.npy,/TCG-15/gt_boundary_arr/subject_1_instance_68.npy
/TCG-15/features/subject_1_instance_69.npy,/TCG-15/gt_arr/subject_1_instance_69.npy,/TCG-15/gt_boundary_arr/subject_1_instance_69.npy
/TCG-15/features/subject_1_instance_71.npy,/TCG-15/gt_arr/subject_1_instance_71.npy,/TCG-15/gt_boundary_arr/subject_1_instance_71.npy
/TCG-15/features/subject_1_instance_72.npy,/TCG-15/gt_arr/subject_1_instance_72.npy,/TCG-15/gt_boundary_arr/subject_1_instance_72.npy
/TCG-15/features/subject_1_instance_73.npy,/TCG-15/gt_arr/subject_1_instance_73.npy,/TCG-15/gt_boundary_arr/subject_1_instance_73.npy
/TCG-15/features/subject_1_instance_74.npy,/TCG-15/gt_arr/subject_1_instance_74.npy,/TCG-15/gt_boundary_arr/subject_1_instance_74.npy
/TCG-15/features/subject_1_instance_75.npy,/TCG-15/gt_arr/subject_1_instance_75.npy,/TCG-15/gt_boundary_arr/subject_1_instance_75.npy
/TCG-15/features/subject_1_instance_76.npy,/TCG-15/gt_arr/subject_1_instance_76.npy,/TCG-15/gt_boundary_arr/subject_1_instance_76.npy
/TCG-15/features/subject_1_instance_77.npy,/TCG-15/gt_arr/subject_1_instance_77.npy,/TCG-15/gt_boundary_arr/subject_1_instance_77.npy
/TCG-15/features/subject_1_instance_78.npy,/TCG-15/gt_arr/subject_1_instance_78.npy,/TCG-15/gt_boundary_arr/subject_1_instance_78.npy
/TCG-15/features/subject_1_instance_79.npy,/TCG-15/gt_arr/subject_1_instance_79.npy,/TCG-15/gt_boundary_arr/subject_1_instance_79.npy
/TCG-15/features/subject_1_instance_81.npy,/TCG-15/gt_arr/subject_1_instance_81.npy,/TCG-15/gt_boundary_arr/subject_1_instance_81.npy
/TCG-15/features/subject_1_instance_82.npy,/TCG-15/gt_arr/subject_1_instance_82.npy,/TCG-15/gt_boundary_arr/subject_1_instance_82.npy
/TCG-15/features/subject_1_instance_83.npy,/TCG-15/gt_arr/subject_1_instance_83.npy,/TCG-15/gt_boundary_arr/subject_1_instance_83.npy
/TCG-15/features/subject_1_instance_84.npy,/TCG-15/gt_arr/subject_1_instance_84.npy,/TCG-15/gt_boundary_arr/subject_1_instance_84.npy
/TCG-15/features/subject_1_instance_85.npy,/TCG-15/gt_arr/subject_1_instance_85.npy,/TCG-15/gt_boundary_arr/subject_1_instance_85.npy
/TCG-15/features/subject_1_instance_86.npy,/TCG-15/gt_arr/subject_1_instance_86.npy,/TCG-15/gt_boundary_arr/subject_1_instance_86.npy
/TCG-15/features/subject_1_instance_87.npy,/TCG-15/gt_arr/subject_1_instance_87.npy,/TCG-15/gt_boundary_arr/subject_1_instance_87.npy
/TCG-15/features/subject_1_instance_88.npy,/TCG-15/gt_arr/subject_1_instance_88.npy,/TCG-15/gt_boundary_arr/subject_1_instance_88.npy
/TCG-15/features/subject_1_instance_89.npy,/TCG-15/gt_arr/subject_1_instance_89.npy,/TCG-15/gt_boundary_arr/subject_1_instance_89.npy
/TCG-15/features/subject_1_instance_91.npy,/TCG-15/gt_arr/subject_1_instance_91.npy,/TCG-15/gt_boundary_arr/subject_1_instance_91.npy
/TCG-15/features/subject_1_instance_92.npy,/TCG-15/gt_arr/subject_1_instance_92.npy,/TCG-15/gt_boundary_arr/subject_1_instance_92.npy
/TCG-15/features/subject_1_instance_93.npy,/TCG-15/gt_arr/subject_1_instance_93.npy,/TCG-15/gt_boundary_arr/subject_1_instance_93.npy
/TCG-15/features/subject_1_instance_94.npy,/TCG-15/gt_arr/subject_1_instance_94.npy,/TCG-15/gt_boundary_arr/subject_1_instance_94.npy
/TCG-15/features/subject_1_instance_95.npy,/TCG-15/gt_arr/subject_1_instance_95.npy,/TCG-15/gt_boundary_arr/subject_1_instance_95.npy
/TCG-15/features/subject_1_instance_96.npy,/TCG-15/gt_arr/subject_1_instance_96.npy,/TCG-15/gt_boundary_arr/subject_1_instance_96.npy
/TCG-15/features/subject_1_instance_97.npy,/TCG-15/gt_arr/subject_1_instance_97.npy,/TCG-15/gt_boundary_arr/subject_1_instance_97.npy
/TCG-15/features/subject_1_instance_98.npy,/TCG-15/gt_arr/subject_1_instance_98.npy,/TCG-15/gt_boundary_arr/subject_1_instance_98.npy
/TCG-15/features/subject_1_instance_99.npy,/TCG-15/gt_arr/subject_1_instance_99.npy,/TCG-15/gt_boundary_arr/subject_1_instance_99.npy
/TCG-15/features/subject_1_instance_101.npy,/TCG-15/gt_arr/subject_1_instance_101.npy,/TCG-15/gt_boundary_arr/subject_1_instance_101.npy
/TCG-15/features/subject_1_instance_102.npy,/TCG-15/gt_arr/subject_1_instance_102.npy,/TCG-15/gt_boundary_arr/subject_1_instance_102.npy
/TCG-15/features/subject_1_instance_103.npy,/TCG-15/gt_arr/subject_1_instance_103.npy,/TCG-15/gt_boundary_arr/subject_1_instance_103.npy
/TCG-15/features/subject_1_instance_104.npy,/TCG-15/gt_arr/subject_1_instance_104.npy,/TCG-15/gt_boundary_arr/subject_1_instance_104.npy
/TCG-15/features/subject_1_instance_105.npy,/TCG-15/gt_arr/subject_1_instance_105.npy,/TCG-15/gt_boundary_arr/subject_1_instance_105.npy
/TCG-15/features/subject_1_instance_106.npy,/TCG-15/gt_arr/subject_1_instance_106.npy,/TCG-15/gt_boundary_arr/subject_1_instance_106.npy
/TCG-15/features/subject_1_instance_107.npy,/TCG-15/gt_arr/subject_1_instance_107.npy,/TCG-15/gt_boundary_arr/subject_1_instance_107.npy
/TCG-15/features/subject_1_instance_108.npy,/TCG-15/gt_arr/subject_1_instance_108.npy,/TCG-15/gt_boundary_arr/subject_1_instance_108.npy
/TCG-15/features/subject_1_instance_109.npy,/TCG-15/gt_arr/subject_1_instance_109.npy,/TCG-15/gt_boundary_arr/subject_1_instance_109.npy
/TCG-15/features/subject_2_instance_1.npy,/TCG-15/gt_arr/subject_2_instance_1.npy,/TCG-15/gt_boundary_arr/subject_2_instance_1.npy
/TCG-15/features/subject_2_instance_2.npy,/TCG-15/gt_arr/subject_2_instance_2.npy,/TCG-15/gt_boundary_arr/subject_2_instance_2.npy
/TCG-15/features/subject_2_instance_3.npy,/TCG-15/gt_arr/subject_2_instance_3.npy,/TCG-15/gt_boundary_arr/subject_2_instance_3.npy
/TCG-15/features/subject_2_instance_4.npy,/TCG-15/gt_arr/subject_2_instance_4.npy,/TCG-15/gt_boundary_arr/subject_2_instance_4.npy
/TCG-15/features/subject_2_instance_5.npy,/TCG-15/gt_arr/subject_2_instance_5.npy,/TCG-15/gt_boundary_arr/subject_2_instance_5.npy
/TCG-15/features/subject_2_instance_6.npy,/TCG-15/gt_arr/subject_2_instance_6.npy,/TCG-15/gt_boundary_arr/subject_2_instance_6.npy
/TCG-15/features/subject_2_instance_7.npy,/TCG-15/gt_arr/subject_2_instance_7.npy,/TCG-15/gt_boundary_arr/subject_2_instance_7.npy
/TCG-15/features/subject_2_instance_8.npy,/TCG-15/gt_arr/subject_2_instance_8.npy,/TCG-15/gt_boundary_arr/subject_2_instance_8.npy
/TCG-15/features/subject_2_instance_9.npy,/TCG-15/gt_arr/subject_2_instance_9.npy,/TCG-15/gt_boundary_arr/subject_2_instance_9.npy
/TCG-15/features/subject_2_instance_11.npy,/TCG-15/gt_arr/subject_2_instance_11.npy,/TCG-15/gt_boundary_arr/subject_2_instance_11.npy
/TCG-15/features/subject_2_instance_12.npy,/TCG-15/gt_arr/subject_2_instance_12.npy,/TCG-15/gt_boundary_arr/subject_2_instance_12.npy
/TCG-15/features/subject_2_instance_13.npy,/TCG-15/gt_arr/subject_2_instance_13.npy,/TCG-15/gt_boundary_arr/subject_2_instance_13.npy
/TCG-15/features/subject_2_instance_14.npy,/TCG-15/gt_arr/subject_2_instance_14.npy,/TCG-15/gt_boundary_arr/subject_2_instance_14.npy
/TCG-15/features/subject_2_instance_15.npy,/TCG-15/gt_arr/subject_2_instance_15.npy,/TCG-15/gt_boundary_arr/subject_2_instance_15.npy
/TCG-15/features/subject_2_instance_16.npy,/TCG-15/gt_arr/subject_2_instance_16.npy,/TCG-15/gt_boundary_arr/subject_2_instance_16.npy
/TCG-15/features/subject_2_instance_17.npy,/TCG-15/gt_arr/subject_2_instance_17.npy,/TCG-15/gt_boundary_arr/subject_2_instance_17.npy
/TCG-15/features/subject_2_instance_18.npy,/TCG-15/gt_arr/subject_2_instance_18.npy,/TCG-15/gt_boundary_arr/subject_2_instance_18.npy
/TCG-15/features/subject_2_instance_19.npy,/TCG-15/gt_arr/subject_2_instance_19.npy,/TCG-15/gt_boundary_arr/subject_2_instance_19.npy
/TCG-15/features/subject_2_instance_21.npy,/TCG-15/gt_arr/subject_2_instance_21.npy,/TCG-15/gt_boundary_arr/subject_2_instance_21.npy
/TCG-15/features/subject_2_instance_22.npy,/TCG-15/gt_arr/subject_2_instance_22.npy,/TCG-15/gt_boundary_arr/subject_2_instance_22.npy
/TCG-15/features/subject_2_instance_23.npy,/TCG-15/gt_arr/subject_2_instance_23.npy,/TCG-15/gt_boundary_arr/subject_2_instance_23.npy
/TCG-15/features/subject_2_instance_24.npy,/TCG-15/gt_arr/subject_2_instance_24.npy,/TCG-15/gt_boundary_arr/subject_2_instance_24.npy
/TCG-15/features/subject_2_instance_25.npy,/TCG-15/gt_arr/subject_2_instance_25.npy,/TCG-15/gt_boundary_arr/subject_2_instance_25.npy
/TCG-15/features/subject_2_instance_26.npy,/TCG-15/gt_arr/subject_2_instance_26.npy,/TCG-15/gt_boundary_arr/subject_2_instance_26.npy
/TCG-15/features/subject_2_instance_27.npy,/TCG-15/gt_arr/subject_2_instance_27.npy,/TCG-15/gt_boundary_arr/subject_2_instance_27.npy
/TCG-15/features/subject_2_instance_28.npy,/TCG-15/gt_arr/subject_2_instance_28.npy,/TCG-15/gt_boundary_arr/subject_2_instance_28.npy
/TCG-15/features/subject_2_instance_29.npy,/TCG-15/gt_arr/subject_2_instance_29.npy,/TCG-15/gt_boundary_arr/subject_2_instance_29.npy
/TCG-15/features/subject_2_instance_31.npy,/TCG-15/gt_arr/subject_2_instance_31.npy,/TCG-15/gt_boundary_arr/subject_2_instance_31.npy
/TCG-15/features/subject_2_instance_32.npy,/TCG-15/gt_arr/subject_2_instance_32.npy,/TCG-15/gt_boundary_arr/subject_2_instance_32.npy
/TCG-15/features/subject_2_instance_33.npy,/TCG-15/gt_arr/subject_2_instance_33.npy,/TCG-15/gt_boundary_arr/subject_2_instance_33.npy
/TCG-15/features/subject_2_instance_34.npy,/TCG-15/gt_arr/subject_2_instance_34.npy,/TCG-15/gt_boundary_arr/subject_2_instance_34.npy
/TCG-15/features/subject_2_instance_35.npy,/TCG-15/gt_arr/subject_2_instance_35.npy,/TCG-15/gt_boundary_arr/subject_2_instance_35.npy
/TCG-15/features/subject_2_instance_36.npy,/TCG-15/gt_arr/subject_2_instance_36.npy,/TCG-15/gt_boundary_arr/subject_2_instance_36.npy
/TCG-15/features/subject_2_instance_37.npy,/TCG-15/gt_arr/subject_2_instance_37.npy,/TCG-15/gt_boundary_arr/subject_2_instance_37.npy
/TCG-15/features/subject_2_instance_38.npy,/TCG-15/gt_arr/subject_2_instance_38.npy,/TCG-15/gt_boundary_arr/subject_2_instance_38.npy
/TCG-15/features/subject_2_instance_39.npy,/TCG-15/gt_arr/subject_2_instance_39.npy,/TCG-15/gt_boundary_arr/subject_2_instance_39.npy
/TCG-15/features/subject_2_instance_41.npy,/TCG-15/gt_arr/subject_2_instance_41.npy,/TCG-15/gt_boundary_arr/subject_2_instance_41.npy
/TCG-15/features/subject_2_instance_42.npy,/TCG-15/gt_arr/subject_2_instance_42.npy,/TCG-15/gt_boundary_arr/subject_2_instance_42.npy
/TCG-15/features/subject_2_instance_43.npy,/TCG-15/gt_arr/subject_2_instance_43.npy,/TCG-15/gt_boundary_arr/subject_2_instance_43.npy
/TCG-15/features/subject_2_instance_44.npy,/TCG-15/gt_arr/subject_2_instance_44.npy,/TCG-15/gt_boundary_arr/subject_2_instance_44.npy
/TCG-15/features/subject_2_instance_45.npy,/TCG-15/gt_arr/subject_2_instance_45.npy,/TCG-15/gt_boundary_arr/subject_2_instance_45.npy
/TCG-15/features/subject_2_instance_46.npy,/TCG-15/gt_arr/subject_2_instance_46.npy,/TCG-15/gt_boundary_arr/subject_2_instance_46.npy
/TCG-15/features/subject_2_instance_47.npy,/TCG-15/gt_arr/subject_2_instance_47.npy,/TCG-15/gt_boundary_arr/subject_2_instance_47.npy
/TCG-15/features/subject_2_instance_48.npy,/TCG-15/gt_arr/subject_2_instance_48.npy,/TCG-15/gt_boundary_arr/subject_2_instance_48.npy
/TCG-15/features/subject_2_instance_49.npy,/TCG-15/gt_arr/subject_2_instance_49.npy,/TCG-15/gt_boundary_arr/subject_2_instance_49.npy
/TCG-15/features/subject_2_instance_51.npy,/TCG-15/gt_arr/subject_2_instance_51.npy,/TCG-15/gt_boundary_arr/subject_2_instance_51.npy
/TCG-15/features/subject_2_instance_52.npy,/TCG-15/gt_arr/subject_2_instance_52.npy,/TCG-15/gt_boundary_arr/subject_2_instance_52.npy
/TCG-15/features/subject_2_instance_53.npy,/TCG-15/gt_arr/subject_2_instance_53.npy,/TCG-15/gt_boundary_arr/subject_2_instance_53.npy
/TCG-15/features/subject_2_instance_54.npy,/TCG-15/gt_arr/subject_2_instance_54.npy,/TCG-15/gt_boundary_arr/subject_2_instance_54.npy
/TCG-15/features/subject_2_instance_55.npy,/TCG-15/gt_arr/subject_2_instance_55.npy,/TCG-15/gt_boundary_arr/subject_2_instance_55.npy
/TCG-15/features/subject_2_instance_56.npy,/TCG-15/gt_arr/subject_2_instance_56.npy,/TCG-15/gt_boundary_arr/subject_2_instance_56.npy
/TCG-15/features/subject_2_instance_57.npy,/TCG-15/gt_arr/subject_2_instance_57.npy,/TCG-15/gt_boundary_arr/subject_2_instance_57.npy
/TCG-15/features/subject_2_instance_58.npy,/TCG-15/gt_arr/subject_2_instance_58.npy,/TCG-15/gt_boundary_arr/subject_2_instance_58.npy
/TCG-15/features/subject_2_instance_59.npy,/TCG-15/gt_arr/subject_2_instance_59.npy,/TCG-15/gt_boundary_arr/subject_2_instance_59.npy
/TCG-15/features/subject_2_instance_61.npy,/TCG-15/gt_arr/subject_2_instance_61.npy,/TCG-15/gt_boundary_arr/subject_2_instance_61.npy
/TCG-15/features/subject_2_instance_62.npy,/TCG-15/gt_arr/subject_2_instance_62.npy,/TCG-15/gt_boundary_arr/subject_2_instance_62.npy
/TCG-15/features/subject_2_instance_63.npy,/TCG-15/gt_arr/subject_2_instance_63.npy,/TCG-15/gt_boundary_arr/subject_2_instance_63.npy
/TCG-15/features/subject_2_instance_64.npy,/TCG-15/gt_arr/subject_2_instance_64.npy,/TCG-15/gt_boundary_arr/subject_2_instance_64.npy
/TCG-15/features/subject_2_instance_65.npy,/TCG-15/gt_arr/subject_2_instance_65.npy,/TCG-15/gt_boundary_arr/subject_2_instance_65.npy
/TCG-15/features/subject_2_instance_66.npy,/TCG-15/gt_arr/subject_2_instance_66.npy,/TCG-15/gt_boundary_arr/subject_2_instance_66.npy
/TCG-15/features/subject_2_instance_67.npy,/TCG-15/gt_arr/subject_2_instance_67.npy,/TCG-15/gt_boundary_arr/subject_2_instance_67.npy
/TCG-15/features/subject_2_instance_68.npy,/TCG-15/gt_arr/subject_2_instance_68.npy,/TCG-15/gt_boundary_arr/subject_2_instance_68.npy
/TCG-15/features/subject_2_instance_69.npy,/TCG-15/gt_arr/subject_2_instance_69.npy,/TCG-15/gt_boundary_arr/subject_2_instance_69.npy
/TCG-15/features/subject_2_instance_71.npy,/TCG-15/gt_arr/subject_2_instance_71.npy,/TCG-15/gt_boundary_arr/subject_2_instance_71.npy
/TCG-15/features/subject_2_instance_72.npy,/TCG-15/gt_arr/subject_2_instance_72.npy,/TCG-15/gt_boundary_arr/subject_2_instance_72.npy
/TCG-15/features/subject_2_instance_73.npy,/TCG-15/gt_arr/subject_2_instance_73.npy,/TCG-15/gt_boundary_arr/subject_2_instance_73.npy
/TCG-15/features/subject_2_instance_74.npy,/TCG-15/gt_arr/subject_2_instance_74.npy,/TCG-15/gt_boundary_arr/subject_2_instance_74.npy
/TCG-15/features/subject_2_instance_75.npy,/TCG-15/gt_arr/subject_2_instance_75.npy,/TCG-15/gt_boundary_arr/subject_2_instance_75.npy
/TCG-15/features/subject_2_instance_76.npy,/TCG-15/gt_arr/subject_2_instance_76.npy,/TCG-15/gt_boundary_arr/subject_2_instance_76.npy
/TCG-15/features/subject_2_instance_77.npy,/TCG-15/gt_arr/subject_2_instance_77.npy,/TCG-15/gt_boundary_arr/subject_2_instance_77.npy
/TCG-15/features/subject_2_instance_78.npy,/TCG-15/gt_arr/subject_2_instance_78.npy,/TCG-15/gt_boundary_arr/subject_2_instance_78.npy
/TCG-15/features/subject_2_instance_79.npy,/TCG-15/gt_arr/subject_2_instance_79.npy,/TCG-15/gt_boundary_arr/subject_2_instance_79.npy
/TCG-15/features/subject_2_instance_81.npy,/TCG-15/gt_arr/subject_2_instance_81.npy,/TCG-15/gt_boundary_arr/subject_2_instance_81.npy
/TCG-15/features/subject_2_instance_82.npy,/TCG-15/gt_arr/subject_2_instance_82.npy,/TCG-15/gt_boundary_arr/subject_2_instance_82.npy
/TCG-15/features/subject_2_instance_83.npy,/TCG-15/gt_arr/subject_2_instance_83.npy,/TCG-15/gt_boundary_arr/subject_2_instance_83.npy
/TCG-15/features/subject_2_instance_84.npy,/TCG-15/gt_arr/subject_2_instance_84.npy,/TCG-15/gt_boundary_arr/subject_2_instance_84.npy
/TCG-15/features/subject_2_instance_85.npy,/TCG-15/gt_arr/subject_2_instance_85.npy,/TCG-15/gt_boundary_arr/subject_2_instance_85.npy
/TCG-15/features/subject_2_instance_86.npy,/TCG-15/gt_arr/subject_2_instance_86.npy,/TCG-15/gt_boundary_arr/subject_2_instance_86.npy
/TCG-15/features/subject_2_instance_87.npy,/TCG-15/gt_arr/subject_2_instance_87.npy,/TCG-15/gt_boundary_arr/subject_2_instance_87.npy
/TCG-15/features/subject_2_instance_88.npy,/TCG-15/gt_arr/subject_2_instance_88.npy,/TCG-15/gt_boundary_arr/subject_2_instance_88.npy
